,lat,long,elevation
299,-13.5,15.42857,1605.85791015625
300,-13.5,25.71429,1246.427734375
301,-13.5,36.0,695.4000244140625
302,-13.5,46.28571,-3434.041259765625
303,-13.5,56.57143,-4456.36572265625
304,-13.5,66.85714,-3593.353515625
305,-13.5,77.14286,-5358.37109375
306,-13.5,87.42857,-4467.2119140625
307,-13.5,97.71429,-5015.40234375
308,-13.5,108.0,-4652.0
309,-13.5,118.28571,-5693.25244140625
310,-13.5,128.57143,-64.22855377197266
311,-13.5,138.85714,-60.34861373901367
312,-13.5,149.14286,-4443.5419921875
313,-13.5,159.42857,-3249.539306640625
314,-13.5,169.71429,-3387.75732421875
315,-4.5,-174.85714,-5349.98828125
316,-4.5,-164.57143,-3490.485595703125
317,-4.5,-154.28571,-3790.691650390625
318,-4.5,-144.0,-4675.7998046875
319,-4.5,-133.71429,-4582.474609375
320,-4.5,-123.42857,-4325.65673828125
321,-4.5,-113.14286,-4085.219482421875
322,-4.5,-102.85714,-3373.32763671875
323,-4.5,-92.57143,-3827.66845703125
324,-4.5,-82.28571,-3855.919189453125
325,-4.5,-72.0,113.2399978637695
326,-4.5,-61.71429,50.63989639282227
327,-4.5,-51.42857,169.3711547851562
328,-4.5,-41.14286,460.1234741210938
329,-4.5,-30.85714,-4768.419921875
330,-4.5,-20.57143,-4842.10986328125
331,-4.5,-10.28571,-3721.06298828125
332,-4.5,0.0,-4976.7998046875
333,-4.5,10.28571,-2440.250732421875
334,-4.5,20.57143,450.0464782714844
335,-4.5,30.85714,1162.890991210938
336,-4.5,41.14286,-1844.904296875
337,-4.5,51.42857,-4919.02783203125
338,-4.5,61.71429,-3545.391357421875
339,-4.5,72.0,-3338.760009765625
340,-4.5,82.28571,-4651.16748046875
341,-4.5,92.57143,-4963.474609375
342,-4.5,102.85714,-38.86498260498047
343,-4.5,113.14286,-41.64563751220703
344,-4.5,123.42857,-5207.9453125
345,-4.5,133.71429,-1586.18359375
346,-4.5,144.0,24.8799991607666
347,-4.5,154.28571,-1159.722778320312
348,-4.5,164.57143,-2390.03173828125
349,-4.5,174.85714,-5225.8017578125
350,4.5,-180.0,-5449.39990234375
351,4.5,-169.71429,-5725.517578125
352,4.5,-159.42857,-3656.660400390625
353,4.5,-149.14286,-4960.33544921875
354,4.5,-138.85714,-4318.7734375
355,4.5,-128.57143,-4430.314453125
